Dataset,c1,c2,cls_coef,density,f1.mean,f1.sd,f1v.mean,f1v.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,hubs.mean,hubs.sd,l1.mean,l1.sd,l2.mean,l2.sd,l3.mean,l3.sd,lsc,n1,n2.mean,n2.sd,n3.mean,n3.sd,n4.mean,n4.sd,t1,t2,t3,t4
fertility-diagnosis,0.5293608652873644,0.7322515212981744,0.5140483752748595,0.8476767676767677,0.9894921526207708,0.008614681341392386,0.46565177849330186,nan,0.3838297872340426,nan,0.98,nan,0.95,nan,0.56413815247951,0.24475339784223818,0.10711498804369401,nan,0.12,nan,0.12,nan,0.9049,0.22,0.34374138912349855,0.1862400453624719,0.14,0.348735088019777,0.24,0.4292346959909279,0.29,0.09,0.06,0.6666666666666666
forest-fires,0.6022865091687468,0.665270127885667,0.43866934309924766,0.856251780546684,0.9983187884319942,0.0014610167780295346,0.8497030552747117,nan,0.0,nan,0.9690522243713733,nan,0.8858800773694391,nan,0.6698633490885837,0.2072145655359942,0.12816116553288748,nan,0.14700193423597674,nan,0.14700193423597674,nan,0.9884656682467292,0.3578336557059961,nan,nan,0.2379110251450677,0.42621678053089085,0.20309477756286268,0.4026921236207156,0.4990328820116054,0.02321083172147002,0.0019342359767891683,0.08333333333333333
gss-vw,0.8112781244591328,0.4,0.330728231000057,0.8931328320802006,0.9878208606963291,0.027233383390447674,0.7285224754327835,nan,0.10606060606060606,nan,0.815,nan,0.815,nan,0.5300578160252916,0.2874005489173276,0.19997137489146044,nan,0.25,nan,0.25,nan,0.99630625,0.625,nan,nan,0.475,0.49999999999999994,0.375,0.4847292089559258,0.48,0.0125,0.0025,0.2
heart-statlog,0.9910760598382222,0.024390243902438935,0.45021302847448474,0.8620955528018726,0.8891006347261391,0.08592198902711216,0.17173908418077574,nan,0.19590588320055055,nan,0.9851851851851852,nan,0.9074074074074074,nan,0.7144390843547105,0.3121050208655775,0.10513653491502506,nan,0.14814814814814814,nan,0.09259259259259256,nan,0.9680109739368998,0.35555555555555557,0.3977647137666082,0.13945622291705093,0.22962962962962963,0.4213757030651996,0.3296296296296296,0.47095159130138275,0.4666666666666667,0.04814814814814815,0.011111111111111112,0.23076923076923078
hepatitis,0.6402569436810505,0.6260197509660799,0.5242640294388224,0.8253164556962025,0.9212510368972703,0.07666004510419547,0.10071368682173464,nan,0.0,nan,0.6625,nan,0.0,nan,0.6189718526470896,0.2870393331888917,0.002544881611602934,nan,0.025000000000000022,nan,0.025000000000000022,nan,0.82015625,0.3,0.3398425711390468,0.1662911135040283,0.2,0.40252368434130215,0.0625,0.2435886759231116,0.425,0.2375,0.0375,0.15789473684210525
icu,0.7219280948873623,0.5294117647058824,0.47629281396910683,0.8459798994974874,0.9719270353693731,0.044046146239424565,0.24458182521272076,nan,0.5201238390092879,nan,0.95,nan,0.875,nan,0.6269760001840838,0.2353646950906757,0.1303195867197955,nan,0.13,nan,0.10999999999999999,nan,0.9563,0.345,0.36508791791379613,0.19352296267008437,0.22,0.41528581911472606,0.19,0.3932853503935417,0.4,0.095,0.015,0.15789473684210525
immunotherapy,0.7436012269934466,0.5005553498704183,0.4197223677317967,0.8591760299625468,0.9745288029719837,0.047940971132743676,0.4798508322568765,nan,0.16550381964717606,nan,0.8,nan,0.4444444444444444,nan,0.7403477668485978,0.2969914507579413,0.1429458777282645,nan,0.16666666666666663,nan,0.12222222222222223,nan,0.9467901234567901,0.32222222222222224,0.4161811051322143,0.1509053655009238,0.26666666666666666,0.4446940622369092,0.2,0.4022409138923946,0.4777777777777778,0.07777777777777778,0.011111111111111112,0.14285714285714285
irish,0.9930197666773304,0.01913719815501491,0.24711801951118806,0.8621955013817969,0.9039363050576122,0.0639647269687035,0.2666351446819909,nan,0.24382066276803116,nan,0.5491452991452992,nan,0.0,nan,0.7910938342436603,0.2758254031691276,0.12807979993593344,nan,0.22008547008547008,nan,0.17948717948717952,nan,0.9349112426035503,0.05982905982905983,0.1259335528377403,0.1258947236933982,0.021367521367521368,0.14476093255379097,0.25213675213675213,0.43470402258838736,0.11752136752136752,0.010683760683760684,0.004273504273504274,0.4
kidney,0.8445355563366387,0.34390340984476586,0.5116699594816327,0.8254454567443361,0.5944951629678163,0.22272146304217622,0.008089293122462746,nan,0.0,nan,0.3924050632911392,nan,0.0,nan,0.5973626238546292,0.2633274994207975,0.0,nan,0.0,nan,0.0,nan,0.42645409389520905,0.0379746835443038,0.17243905354630754,0.10913620945453992,0.012658227848101266,0.11214990946504512,0.012658227848101266,0.11214990946504513,0.03164556962025317,0.1518987341772152,0.006329113924050633,0.041666666666666664
lymphography-normal-fibrosis,0.24476508202089722,0.9156435643564357,0.5379756106492841,0.8186247471961758,0.9196715155112855,0.1281246619245028,0.02137549613745026,nan,0.0028344671201814054,nan,0.32432432432432434,nan,0.0,nan,0.4798825252272808,0.1788893905721034,0.0,nan,0.0,nan,0.0,nan,0.4329346238130022,0.05405405405405406,0.21084210687562496,0.09239953684585209,0.02027027027027027,0.14140185387822385,0.06756756756756757,0.2518546757884237,0.05405405405405406,0.12162162162162163,0.07432432432432433,0.6111111111111112
lymphography-v1,0.9856426982019311,0.038902937171756524,0.5120489296636086,0.8710418539606433,0.9327780198915663,0.08485763407602939,0.15282116375304297,nan,0.24489795918367344,nan,0.9507042253521126,nan,0.8873239436619719,nan,0.6642117755229009,0.3250723409260917,0.09954149635739418,nan,0.11267605633802813,nan,0.07746478873239437,nan,0.9582424122197977,0.323943661971831,0.40588264786379413,0.1274249521303727,0.2323943661971831,0.42385419943582325,0.24647887323943662,0.4324861284752889,0.5422535211267606,0.1267605633802817,0.07746478873239436,0.6111111111111112
mammographic,0.9993967860478772,0.0016708340826947499,0.35414298642533937,0.8620605461653611,0.817792654353336,0.150116631889877,0.24824493202683912,nan,0.08111888111888112,nan,0.9518072289156626,nan,0.9506024096385542,nan,0.7574509011000947,0.3178321551258318,0.1768667865159259,nan,0.172289156626506,nan,0.17590361445783131,nan,0.991831905937001,0.37349397590361444,nan,nan,0.2469879518072289,0.4315197005533386,0.37710843373493974,0.4849546510341631,0.26024096385542167,0.006024096385542169,0.0012048192771084338,0.2
pbc,0.9722080563599758,0.07373691397360038,0.3892121474362624,0.8771014492753624,0.9244230215931464,0.04795307596219318,0.27418356310343617,nan,0.034442025520726595,nan,0.9456521739130435,nan,0.7355072463768116,nan,0.7373807896324707,0.2966459626550988,0.13274892950625183,nan,0.18840579710144922,nan,0.14130434782608692,nan,0.9838663095988238,0.463768115942029,0.4597282382945156,0.09415246397943883,0.32971014492753625,0.4709617888827238,0.358695652173913,0.4804888814711442,0.6666666666666666,0.06159420289855073,0.007246376811594203,0.11764705882352941
